"";"species";"prob_excl_mean";"prob_excl_lowerCI";"prob_excl_upperCI";"year";"plot";"guild";"intraguild.type"
"1";"Andrena_cinerea";0,129638671081135;0,129615451101317;0,129662734243656;"2019";2;"floral visitors";"nesting_larvae"
"2";"Calliphoridae";0,12966698316978;0,129643771937073;0,129692914857088;"2019";2;"floral visitors";"nesting_larvae"
"3";"Dilophus_spp";0,153299126704174;0,153273176456681;0,153323050156528;"2019";2;"floral visitors";"nesting_larvae"
"4";"Episyrphus_balteatus";0,12644205273969;0,126415447162877;0,126467606285621;"2019";2;"floral visitors";"nesting_larvae"
"5";"Eupeodes_corollae";0,0890507453261307;0,0890283710690297;0,0890728668154967;"2019";2;"floral visitors";"nesting_larvae"
"6";"Lasioglossum_immunitum";0,129634698155557;0,129612394968208;0,12965853165985;"2019";2;"floral visitors";"nesting_larvae"
"7";"Musca_spp";0,12966650104697;0,129645441544611;0,129689165096367;"2019";2;"floral visitors";"nesting_larvae"
"8";"Nemotelus_spp";0,112601221776563;0,112577738403953;0,112626016301867;"2019";2;"floral visitors";"nesting_larvae"
