"";"species";"prob_excl_mean";"prob_excl_lowerCI";"prob_excl_upperCI";"year";"plot";"guild";"intraguild.type"
"1";"Andrena_cinerea";0,0492258650087898;0,0156542425319736;0,109786335281029;"2019";7;"floral visitors";"mean_field"
"2";"Bombyliidae";0,0185063456018471;0,00986189383778842;0,0296990668265006;"2019";7;"floral visitors";"mean_field"
"3";"Colias_croceus";0,0496738440522841;0,0155766665866364;0,113891267390467;"2019";7;"floral visitors";"mean_field"
"4";"Culicidae";0,0523028535358807;0,0224191983860996;0,0994216563969984;"2019";7;"floral visitors";"mean_field"
"5";"Dilophus_spp";0,0469257890512112;0,0186294070417418;0,0882327349191228;"2019";7;"floral visitors";"mean_field"
"6";"Empis_tesellata";0,0459834688268385;0,0163182583396216;0,092562970079822;"2019";7;"floral visitors";"mean_field"
"7";"Eucera_spp";0,0260786793943717;0,0132876364184731;0,044019261807649;"2019";7;"floral visitors";"mean_field"
"8";"Eupeodes_corollae";0,0431361804429453;0,0174840089858613;0,0863636192016627;"2019";7;"floral visitors";"mean_field"
"9";"Lasiocampa_trifolii";0,149160981752078;0,0252419133259628;0,331256012897731;"2019";7;"floral visitors";"mean_field"
"10";"Lomatia_spp";0,074924110704867;0,0181666239680705;0,184388604675557;"2019";7;"floral visitors";"mean_field"
"11";"Melanostoma_spp";0,0409682301579048;0,0157972208068815;0,0802841601529336;"2019";7;"floral visitors";"mean_field"
"12";"Musca_spp";0,0605016790990376;0,0209957534817815;0,119371501619788;"2019";7;"floral visitors";"mean_field"
"13";"Odontomyia_spp";0,200660739218383;0,0261534560438437;0,465798777475657;"2019";7;"floral visitors";"mean_field"
"14";"Scaeva_spp";0,0263874246111887;0,0119596982460746;0,0486936038785759;"2019";7;"floral visitors";"mean_field"
"15";"Sphaerophoria_scripta";0,0369744051023079;0,0185870950305298;0,0620777603398784;"2019";7;"floral visitors";"mean_field"
"16";"Ulidiidae";0,0400780336682445;0,0179838059515115;0,0732739143906932;"2019";7;"floral visitors";"mean_field"
"17";"Vanessa_cardui";0,03851136977182;0,0145958586388627;0,0770779804415423;"2019";7;"floral visitors";"mean_field"
