"";"species";"prob_excl_mean";"prob_excl_lowerCI";"prob_excl_upperCI";"year";"plot";"guild";"intraguild.type"
"1";"BEMA";0,127126798179149;0,126778447867817;0,127491964682082;"2019";1;"plants";"nesting_larvae_phenology"
"2";"CETE";0,0624644111866012;0,0621828035787848;0,0627368907948779;"2019";1;"plants";"nesting_larvae_phenology"
"3";"CHFU";0,0277486799609186;0,0275909550868531;0,027913317792426;"2019";1;"plants";"nesting_larvae_phenology"
"4";"CHMI";0,047726518213903;0,0475399521444085;0,0479275680499795;"2019";1;"plants";"nesting_larvae_phenology"
"5";"HOMA";0,165057497487905;0,164664308582019;0,165425386009437;"2019";1;"plants";"nesting_larvae_phenology"
"6";"LEMA";0,250341168596622;0,249958330352596;0,250727094082056;"2019";1;"plants";"nesting_larvae_phenology"
"7";"MESP";0,040877173793014;0,0407026844238218;0,0410606414403377;"2019";1;"plants";"nesting_larvae_phenology"
"8";"PAIN";0,0288171416529004;0,0286697679269742;0,0289596783053683;"2019";1;"plants";"nesting_larvae_phenology"
"9";"PLCO";0,0517418502824446;0,0514905155964097;0,0519900986920714;"2019";1;"plants";"nesting_larvae_phenology"
"10";"POMA";0,0398565495924321;0,0396871627627955;0,0400398776376444;"2019";1;"plants";"nesting_larvae_phenology"
"11";"PUPA";0,0396100929171283;0,0394063436792554;0,039830184803648;"2019";1;"plants";"nesting_larvae_phenology"
"12";"SASO";0,040564952200162;0,0403857603694656;0,0407349418110845;"2019";1;"plants";"nesting_larvae_phenology"
"13";"SCLA";0,046277199448064;0,0460757623832524;0,0464828813810474;"2019";1;"plants";"nesting_larvae_phenology"
"14";"SOAS";0,0317899664887564;0,0315684211263941;0,0320071025894158;"2019";1;"plants";"nesting_larvae_phenology"
