"";"species";"prob_excl_mean";"prob_excl_lowerCI";"prob_excl_upperCI";"year";"plot";"guild";"intraguild.type"
"1";"BEMA";0,0351959598218553;0,0343644083315365;0,0361180453504027;"2019";1;"all";"nesting_larvae_phenology"
"2";"CETE";0,0181351630754399;0,0175127735221365;0,0187920909503574;"2019";1;"all";"nesting_larvae_phenology"
"3";"CHFU";0,0172614046214414;0,0167704973480137;0,0177878237541558;"2019";1;"all";"nesting_larvae_phenology"
"4";"CHMI";0,0154555348812113;0,0148952169358543;0,0160436353402745;"2019";1;"all";"nesting_larvae_phenology"
"5";"HOMA";0,0829264126091305;0,0814411831032798;0,0843506837589411;"2019";1;"all";"nesting_larvae_phenology"
"6";"LEMA";0,0685466643616131;0,0663174915482352;0,0710033173393192;"2019";1;"all";"nesting_larvae_phenology"
"7";"MESP";0,00763914793037639;0,00731336887929627;0,00797821102992268;"2019";1;"all";"nesting_larvae_phenology"
"8";"PAIN";0,0453870107033504;0,0441158688250114;0,0467489499648573;"2019";1;"all";"nesting_larvae_phenology"
"9";"PLCO";0,0153757195867609;0,0148233601317981;0,0159964092062216;"2019";1;"all";"nesting_larvae_phenology"
"10";"POMA";0,0080701231012456;0,00771938384335789;0,00845064145204445;"2019";1;"all";"nesting_larvae_phenology"
"11";"PUPA";0,0118855104092126;0,0114017224911702;0,012376752452104;"2019";1;"all";"nesting_larvae_phenology"
"12";"SASO";0,00864014892602567;0,00822164954233973;0,00903985471249577;"2019";1;"all";"nesting_larvae_phenology"
"13";"SCLA";0,0138710264717199;0,013314520474766;0,01444585909541;"2019";1;"all";"nesting_larvae_phenology"
"14";"SOAS";0,00969203592712267;0,00927316613908486;0,0101241052422154;"2019";1;"all";"nesting_larvae_phenology"
"15";"Aelia_spp";0,015451326998292;0,0148154344189436;0,0161034568896062;"2019";1;"all";"nesting_larvae_phenology"
"16";"Aiolopus_strepens";0,00869966609255184;0,00834232217826335;0,00909327296597962;"2019";1;"all";"nesting_larvae_phenology"
"17";"Anthaxia_semicuprea";0,0105472162285789;0,0101300547972342;0,0110185730746214;"2019";1;"all";"nesting_larvae_phenology"
"18";"Aphis_fabae";0,00880814215670828;0,00813648390493714;0,00983626869745834;"2019";1;"all";"nesting_larvae_phenology"
"19";"Brassicogethes_spp";0,0116366918685667;0,0112041185954588;0,0121109224916046;"2019";1;"all";"nesting_larvae_phenology"
"20";"Cantharis_coronata";0,011113850157963;0,0105969306510068;0,011626209145359;"2019";1;"all";"nesting_larvae_phenology"
"21";"Cochlicella_barbara";0,0449047762660814;0,0439086207587827;0,0458653504020815;"2019";1;"all";"nesting_larvae_phenology"
"22";"Conocephalus_dorsalis";0,0177603355274982;0,0170739412996252;0,0185892509446218;"2019";1;"all";"nesting_larvae_phenology"
"23";"Dociostaurus_jagoi";0,0102553523476984;0,00981552025528368;0,0107155329439187;"2019";1;"all";"nesting_larvae_phenology"
"24";"Gryllus_bimaculatus";0,0120720071429471;0,0115686448542826;0,0125952584365698;"2019";1;"all";"nesting_larvae_phenology"
"25";"Lasiocampa_trifolii_caterpillar";0,0123019550661797;0,0118150784649486;0,012781646670788;"2019";1;"all";"nesting_larvae_phenology"
"26";"Lepidoptera_caterpillar";0,0181059429797783;0,0174639699136054;0,0188121287660587;"2019";1;"all";"nesting_larvae_phenology"
"27";"Malachius_bipustulatus";0,0169675630206558;0,0162961982982658;0,0176648220290028;"2019";1;"all";"nesting_larvae_phenology"
"28";"Mordellidae";0,0223899405599923;0,0217253652191407;0,0230066893507983;"2019";1;"all";"nesting_larvae_phenology"
"29";"Oedemeridae";0,0143715630230281;0,013887260873493;0,014905259581667;"2019";1;"all";"nesting_larvae_phenology"
"30";"Psilothrix_viridicoerulea";0,00817714828639246;0,00784614960696317;0,00849800090234744;"2019";1;"all";"nesting_larvae_phenology"
"31";"Tessellana_tessellata";0,0240857743518404;0,0232934534977672;0,0249193872863759;"2019";1;"all";"nesting_larvae_phenology"
"32";"Theba_pisana";0,0139734630155861;0,0134293794466306;0,0145235926045782;"2019";1;"all";"nesting_larvae_phenology"
"33";"Andrena_cinerea";0,0168499782860374;0,0162514186485559;0,0174970783106766;"2019";1;"all";"nesting_larvae_phenology"
"34";"Colias_croceus";0,0122050421316291;0,0117547408844719;0,0126689479895017;"2019";1;"all";"nesting_larvae_phenology"
"35";"Dilophus_spp";0,123002462161672;0,12072825749244;0,125215915662173;"2019";1;"all";"nesting_larvae_phenology"
"36";"Empis_tesellata";0,0403253613017447;0,0394633964555349;0,0411875081233629;"2019";1;"all";"nesting_larvae_phenology"
"37";"Eupeodes_corollae";0,029065629822794;0,0282042072889774;0,0298753609795849;"2019";1;"all";"nesting_larvae_phenology"
"38";"Melanopangonius_spp";0,0112966948546205;0,0107611518295292;0,0119014018025454;"2019";1;"all";"nesting_larvae_phenology"
"39";"Musca_spp";0,0418796544079884;0,0409016276713192;0,0428649887036203;"2019";1;"all";"nesting_larvae_phenology"
"40";"Odontomyia_spp";0,0434096137110233;0,0422060817757033;0,0446091024905247;"2019";1;"all";"nesting_larvae_phenology"
"41";"Scaeva_spp";0,0163480388056202;0,015782791161884;0,0169731906324268;"2019";1;"all";"nesting_larvae_phenology"
"42";"Sphaerophoria_scripta";0,0259129470000253;0,0250027240936777;0,0267990134249714;"2019";1;"all";"nesting_larvae_phenology"
