"";"species";"prob_excl_mean";"prob_excl_lowerCI";"prob_excl_upperCI";"year";"plot";"guild";"intraguild.type"
"1";"Andrena_cinerea";0,00555324746542843;0,00108947702134742;0,0174880672905465;"2019";8;"floral visitors";"mean_field"
"2";"Bombyliidae";0,012391252713761;0,00134292803750583;0,0431988793834698;"2019";8;"floral visitors";"mean_field"
"3";"Calliphoridae";0,0395649573840792;0,00260914206198538;0,13925353141362;"2019";8;"floral visitors";"mean_field"
"4";"Chrysididae";0,0267420561064263;0,00202399325334982;0,100272192177355;"2019";8;"floral visitors";"mean_field"
"5";"Dilophus_spp";0,0197474729578914;0,00160904059185921;0,0819350225474078;"2019";8;"floral visitors";"mean_field"
"6";"Diplazon_spp";0,00230199669060811;0,000432043329487966;0,00716715052197534;"2019";8;"floral visitors";"mean_field"
"7";"Empis_tesellata";0,0152731955527778;0,00227627918213829;0,050924884685768;"2019";8;"floral visitors";"mean_field"
"8";"Episyrphus_balteatus";0,0271912820844332;0,000602006295549436;0,108087770547249;"2019";8;"floral visitors";"mean_field"
"9";"Eristalis_spp";0,0131545661517311;0,00129041917056571;0,0454696193254789;"2019";8;"floral visitors";"mean_field"
"10";"Eucera_spp";0,0628653883538204;0,000734416936843514;0,27522870910799;"2019";8;"floral visitors";"mean_field"
"11";"Eupeodes_corollae";0,0441913386469721;0,00139175406766363;0,183220947205696;"2019";8;"floral visitors";"mean_field"
"12";"Lasiocampa_trifolii";0,0185686554161748;0,000638986098104226;0,0680965716729096;"2019";8;"floral visitors";"mean_field"
"13";"Lomatia_spp";0,00491466465358074;0,000794782439350901;0,0145901204951771;"2019";8;"floral visitors";"mean_field"
"14";"Musca_spp";0,00732658456206166;0,00139167493220951;0,0248730730873689;"2019";8;"floral visitors";"mean_field"
"15";"Nemotelus_spp";0,0172065407346594;0,000791417331521697;0,063393302571373;"2019";8;"floral visitors";"mean_field"
"16";"Nephrotoma_spp";0,526845579183149;0,0150590246706137;0,88090284039569;"2019";8;"floral visitors";"mean_field"
"17";"Odontomyia_spp";0,00374319554100045;0,000813709598788226;0,0108891011837974;"2019";8;"floral visitors";"mean_field"
"18";"Scaeva_spp";0,0392785896787923;0,000949041242667839;0,17145630977086;"2019";8;"floral visitors";"mean_field"
"19";"Sphaerophoria_scripta";0,111552116296965;0,00145967755644132;0,412189961930471;"2019";8;"floral visitors";"mean_field"
"20";"Thymelicus_spp";0,00158731982568663;0,000403196849732479;0,00435548077324897;"2019";8;"floral visitors";"mean_field"
