"";"species";"prob_excl_mean";"prob_excl_lowerCI";"prob_excl_upperCI";"year";"plot";"guild";"intraguild.type"
"1";"BEMA";0,0574804124341932;0,0464552134341767;0,0708272021793801;"2019";3;"plants-floral visitors";"mean_field"
"2";"CETE";0,0407894938743175;0,0356741411031275;0,0470333964983609;"2019";3;"plants-floral visitors";"mean_field"
"3";"CHFU";0,0200378367548544;0,0136886506661573;0,0286150180840969;"2019";3;"plants-floral visitors";"mean_field"
"4";"CHMI";0,0558108671681327;0,046058304698468;0,0670536653625156;"2019";3;"plants-floral visitors";"mean_field"
"5";"HOMA";0,0452810402627055;0,0390186879122337;0,0522578104361283;"2019";3;"plants-floral visitors";"mean_field"
"6";"LEMA";0,00578624442856644;0,0046324159889822;0,00730693266685947;"2019";3;"plants-floral visitors";"mean_field"
"7";"MESP";0,0069889384310155;0,00599085201204367;0,00810893149469966;"2019";3;"plants-floral visitors";"mean_field"
"8";"PAIN";0,050779630290369;0,043576806721483;0,0591560006365276;"2019";3;"plants-floral visitors";"mean_field"
"9";"PLCO";0,0586274049066421;0,0463216948305144;0,0738051875475796;"2019";3;"plants-floral visitors";"mean_field"
"10";"POMA";0,0439260327450312;0,0388535740537225;0,0495765541647437;"2019";3;"plants-floral visitors";"mean_field"
"11";"PUPA";0,0480686236173429;0,0410450651415549;0,0557127086975032;"2019";3;"plants-floral visitors";"mean_field"
"12";"SASO";0,0483462967952456;0,0427835265165317;0,0549126449390934;"2019";3;"plants-floral visitors";"mean_field"
"13";"SCLA";0,0542112443563225;0,0441798935203232;0,0674837686972344;"2019";3;"plants-floral visitors";"mean_field"
"14";"SOAS";0,0552964339329263;0,0458382118730253;0,0654552589244283;"2019";3;"plants-floral visitors";"mean_field"
"15";"Andrena_cinerea";0,0919325435808401;0,081390718109166;0,102962795249605;"2019";3;"plants-floral visitors";"mean_field"
"16";"Chrysotoxum_spp";0,0402635853504851;0,0295553414228168;0,0553997597213117;"2019";3;"plants-floral visitors";"mean_field"
"17";"Colias_croceus";0,0219447714876875;0,0180509937625842;0,0260391248431333;"2019";3;"plants-floral visitors";"mean_field"
"18";"Dilophus_spp";0,0855699153301716;0,0774378597703899;0,0942886728545299;"2019";3;"plants-floral visitors";"mean_field"
"19";"Eupeodes_corollae";0,0290562879294385;0,023944667893502;0,0363264537388973;"2019";3;"plants-floral visitors";"mean_field"
"20";"Musca_spp";0,0116125458768935;0,00957298884539801;0,0139127925278338;"2019";3;"plants-floral visitors";"mean_field"
"21";"Scaeva_spp";0,0238887561841988;0,0210875338880599;0,0269192656311626;"2019";3;"plants-floral visitors";"mean_field"
"22";"Sphaerophoria_scripta";0,0695450149190419;0,0555389942212018;0,0904351044967031;"2019";3;"plants-floral visitors";"mean_field"
"23";"Vanessa_cardui";0,0347560793435781;0,0284246427034254;0,0425160362836926;"2019";3;"plants-floral visitors";"mean_field"
