"";"species";"prob_excl_mean";"prob_excl_lowerCI";"prob_excl_upperCI";"year";"plot";"guild";"intraguild.type"
"1";"BEMA";0,044912789487555;0,0446383716647768;0,0451844510479322;"2019";3;"plants";"nesting_larvae"
"2";"CETE";0,0757548429148104;0,0754120112508727;0,0761088276830292;"2019";3;"plants";"nesting_larvae"
"3";"CHFU";0,0349054520201531;0,0346806776869679;0,0351364440008691;"2019";3;"plants";"nesting_larvae"
"4";"CHMI";0,0377130659687041;0,037479594468451;0,0379574049188686;"2019";3;"plants";"nesting_larvae"
"5";"HOMA";0,30433151026683;0,303789597485799;0,304872899112309;"2019";3;"plants";"nesting_larvae"
"6";"LEMA";0,119509581915216;0,119065444617664;0,119938245446607;"2019";3;"plants";"nesting_larvae"
"7";"MESP";0,0332957687517898;0,0330891070857174;0,0335175096033025;"2019";3;"plants";"nesting_larvae"
"8";"PAIN";0,0431506288449461;0,04289435410175;0,0434444025115258;"2019";3;"plants";"nesting_larvae"
"9";"PLCO";0,0543326280444828;0,0540423043605671;0,0546321181623727;"2019";3;"plants";"nesting_larvae"
"10";"POMA";0,0619994828869973;0,0616759838146089;0,0623373900622891;"2019";3;"plants";"nesting_larvae"
"11";"PUPA";0,0427906493256803;0,0425186946990669;0,0430423540237758;"2019";3;"plants";"nesting_larvae"
"12";"SASO";0,0666553560101111;0,0662725293524829;0,0670268840978443;"2019";3;"plants";"nesting_larvae"
"13";"SCLA";0,0407608640408224;0,0405014049219516;0,0410413915305604;"2019";3;"plants";"nesting_larvae"
"14";"SOAS";0,0398873795219016;0,0395929380287276;0,0402258099566718;"2019";3;"plants";"nesting_larvae"
