"";"species";"prob_excl_mean";"prob_excl_lowerCI";"prob_excl_upperCI";"year";"plot";"guild";"intraguild.type"
"1";"BEMA";0,0526839398156478;0,0525140103324072;0,0528555043599776;"2019";3;"plants";"nesting_larvae_phenology"
"2";"CETE";0,0530649354065887;0,0528796144296909;0,0532517480046062;"2019";3;"plants";"nesting_larvae_phenology"
"3";"CHFU";0,0301769906691121;0,0300668319450081;0,0302944861601117;"2019";3;"plants";"nesting_larvae_phenology"
"4";"CHMI";0,0452638024506184;0,0451138924874525;0,0454168160260488;"2019";3;"plants";"nesting_larvae_phenology"
"5";"HOMA";0,285096858543446;0,284808026804843;0,285371582303785;"2019";3;"plants";"nesting_larvae_phenology"
"6";"LEMA";0,127408659156977;0,127135138282173;0,127651490223543;"2019";3;"plants";"nesting_larvae_phenology"
"7";"MESP";0,0400461848325217;0,0399163216081018;0,0401742558242441;"2019";3;"plants";"nesting_larvae_phenology"
"8";"PAIN";0,0346874065409475;0,0345414844916702;0,0348244354938597;"2019";3;"plants";"nesting_larvae_phenology"
"9";"PLCO";0,0580084889282111;0,0578458611413591;0,058173973940557;"2019";3;"plants";"nesting_larvae_phenology"
"10";"POMA";0,0752803477096427;0,0750800605975715;0,0754799837850141;"2019";3;"plants";"nesting_larvae_phenology"
"11";"PUPA";0,0379857669823721;0,0378641830396017;0,0381153808279947;"2019";3;"plants";"nesting_larvae_phenology"
"12";"SASO";0,0802800119157212;0,0800545393276415;0,0805085882585218;"2019";3;"plants";"nesting_larvae_phenology"
"13";"SCLA";0,0501259104393643;0,0499512451836399;0,0502938820297411;"2019";3;"plants";"nesting_larvae_phenology"
"14";"SOAS";0,0298906966088293;0,0297238427373731;0,0300481487791949;"2019";3;"plants";"nesting_larvae_phenology"
