"";"species";"prob_excl_mean";"prob_excl_lowerCI";"prob_excl_upperCI";"year";"plot";"guild";"intraguild.type"
"1";"BEMA";0,014568563626714;0,0103501088577471;0,0201623092451193;"2020";2;"plants-herbivores";"nesting_larvae"
"2";"CETE";0,0290840346778738;0,0204121382839496;0,0389675643697619;"2020";2;"plants-herbivores";"nesting_larvae"
"3";"CHFU";0,00563540747141688;0,00436760396448146;0,00701350393443469;"2020";2;"plants-herbivores";"nesting_larvae"
"4";"CHMI";0,0107013396838993;0,00409751980530031;0,0228577271067992;"2020";2;"plants-herbivores";"nesting_larvae"
"5";"HOMA";0,043511838517777;0,0296808656006208;0,0635967880962303;"2020";2;"plants-herbivores";"nesting_larvae"
"6";"LEMA";0,00483562015717439;0,00259784597851181;0,00824301592857415;"2020";2;"plants-herbivores";"nesting_larvae"
"7";"MESP";0,00691055949050325;0,00542398781722422;0,0087728641259051;"2020";2;"plants-herbivores";"nesting_larvae"
"8";"PAIN";0,0101985804204541;0,00525369183573905;0,0182641113973543;"2020";2;"plants-herbivores";"nesting_larvae"
"9";"PLCO";0,00546887822095083;0,00399616164389658;0,00743626984132277;"2020";2;"plants-herbivores";"nesting_larvae"
"10";"POMA";0,0112895599498738;0,00450346178198174;0,022090714585516;"2020";2;"plants-herbivores";"nesting_larvae"
"11";"PUPA";0,0178531461843596;0,00907114559907267;0,0295516604716311;"2020";2;"plants-herbivores";"nesting_larvae"
"12";"SASO";0,0241505493248514;0,010450828970659;0,0432022949666632;"2020";2;"plants-herbivores";"nesting_larvae"
"13";"SCLA";0,00779554282153966;0,00546156880537159;0,010713922325299;"2020";2;"plants-herbivores";"nesting_larvae"
"14";"SOAS";0,0115542618384158;0,00840562532965341;0,015200008349229;"2020";2;"plants-herbivores";"nesting_larvae"
"15";"Agriotes_spp";0,0145311257966222;0,00839466918669349;0,0221745719150072;"2020";2;"plants-herbivores";"nesting_larvae"
"16";"Aphis_fabae";0,0087414499708922;0,0067501446038757;0,0111121060469194;"2020";2;"plants-herbivores";"nesting_larvae"
"17";"Brassicogethes_spp";0,164678021967015;0,136450431572004;0,19403780010238;"2020";2;"plants-herbivores";"nesting_larvae"
"18";"Cantharis_spp";0,0129504136728946;0,00796104912804713;0,0192130201348697;"2020";2;"plants-herbivores";"nesting_larvae"
"19";"Cleta_ramosaria_caterpillar";0,0176848995937706;0,0113444343974449;0,027279391270516;"2020";2;"plants-herbivores";"nesting_larvae"
"20";"Cochlicella_barbara";0,187826071298345;0,142836084705915;0,237154819256065;"2020";2;"plants-herbivores";"nesting_larvae"
"21";"Cryptocephalus_spp";0,0111289977022151;0,00823992797235067;0,0144061483593548;"2020";2;"plants-herbivores";"nesting_larvae"
"22";"Lasiocampa_trifolii_caterpillar";0,0255570175512921;0,0186201247242269;0,034651951269027;"2020";2;"plants-herbivores";"nesting_larvae"
"23";"Malachius_bipustulatus";0,0130250112366939;0,0095554710918184;0,0170472004248878;"2020";2;"plants-herbivores";"nesting_larvae"
"24";"Meligethes_spp";0,0141973056829453;0,00721825419932766;0,0240758913516573;"2020";2;"plants-herbivores";"nesting_larvae"
"25";"Meloidae";0,0137855382011505;0,00806239531573683;0,0211473280589731;"2020";2;"plants-herbivores";"nesting_larvae"
"26";"Miridae";0,014504127584524;0,00998243783605322;0,0207451701603946;"2020";2;"plants-herbivores";"nesting_larvae"
"27";"Mordellidae";0,0180428012303069;0,0118367937594825;0,0260652710157573;"2020";2;"plants-herbivores";"nesting_larvae"
"28";"Oedemeridae";0,0213920667960326;0,0159242527065968;0,0284294814943984;"2020";2;"plants-herbivores";"nesting_larvae"
"29";"Psilothrix_viridicoerulea";0,158383839403357;0,126325532165795;0,194227409616105;"2020";2;"plants-herbivores";"nesting_larvae"
"30";"Scyphophorus_spp";0,0276521454325528;0,0148631177255941;0,0451004011208238;"2020";2;"plants-herbivores";"nesting_larvae"
"31";"Tessellana_tessellata";0,038774718195468;0,0297605098519692;0,0493883879228591;"2020";2;"plants-herbivores";"nesting_larvae"
"32";"Tetranychus_urticae";0,0198148279053178;0,0109969760190181;0,0337967105420057;"2020";2;"plants-herbivores";"nesting_larvae"
"33";"Theba_pisana";0,0137717383927998;0,00835208505682001;0,0210272054625432;"2020";2;"plants-herbivores";"nesting_larvae"
