"";"species";"prob_excl_mean";"prob_excl_lowerCI";"prob_excl_upperCI";"year";"plot";"guild";"intraguild.type"
"1";"Anastoechus_spp";0,0407704923468421;0,040747688613224;0,0407950076108082;"2020";8;"floral visitors";"nesting_larvae_phenology"
"2";"Andrena_humilis";0,0429206270861577;0,0428993527115215;0,0429436733773346;"2020";8;"floral visitors";"nesting_larvae_phenology"
"3";"Andrena_spp";0,0721292025366626;0,0720992107438846;0,0721583650367686;"2020";8;"floral visitors";"nesting_larvae_phenology"
"4";"Cylindromyia_spp";0,0378649034109812;0,0378430846679172;0,0378860477501131;"2020";8;"floral visitors";"nesting_larvae_phenology"
"5";"Dilophus_spp";0,0688697345456995;0,068840542187151;0,0688981213130227;"2020";8;"floral visitors";"nesting_larvae_phenology"
"6";"Episyrphus_balteatus";0,0653974685293779;0,0653681262605799;0,0654251877290921;"2020";8;"floral visitors";"nesting_larvae_phenology"
"7";"Eupeodes_corollae";0,0423494106545523;0,042327919111009;0,0423697338483106;"2020";8;"floral visitors";"nesting_larvae_phenology"
"8";"Lasiocampa_trifolii";0,0483826369859669;0,048360473965156;0,0484055840809965;"2020";8;"floral visitors";"nesting_larvae_phenology"
"9";"Lasioglossum_malachurum";0,0593387471056717;0,0593139937057666;0,0593636167448247;"2020";8;"floral visitors";"nesting_larvae_phenology"
"10";"Lasioglossum_spp";0,0667225266063588;0,0666957204554665;0,0667486558252539;"2020";8;"floral visitors";"nesting_larvae_phenology"
"11";"Lomatia_spp";0,0448511816926291;0,0448268144403297;0,0448752826864283;"2020";8;"floral visitors";"nesting_larvae_phenology"
"12";"Musca_spp";0,0589489605176879;0,0589221357649462;0,0589757498913522;"2020";8;"floral visitors";"nesting_larvae_phenology"
"13";"Osmia_ligurica";0,0442556676599738;0,0442332414421349;0,0442793230096932;"2020";8;"floral visitors";"nesting_larvae_phenology"
"14";"Pangonius_spp";0,0671290618398894;0,0670999303982481;0,0671574975049931;"2020";8;"floral visitors";"nesting_larvae_phenology"
"15";"Sarcophaga_spp";0,0518615589902884;0,0518355993452204;0,0518865400054342;"2020";8;"floral visitors";"nesting_larvae_phenology"
"16";"Sphaerophoria_scripta";0,0469499509109204;0,0469266287460552;0,046974581491323;"2020";8;"floral visitors";"nesting_larvae_phenology"
"17";"Sphaerophoria_spp";0,0427092529448799;0,0426870448051435;0,042731644701886;"2020";8;"floral visitors";"nesting_larvae_phenology"
"18";"Ulidiidae";0,0586587649967703;0,0586301824195654;0,0586870189844194;"2020";8;"floral visitors";"nesting_larvae_phenology"
"19";"Vanessa_cardui";0,03988985063869;0,0398631216130553;0,0399187896922361;"2020";8;"floral visitors";"nesting_larvae_phenology"
