"";"species";"prob_excl_mean";"prob_excl_lowerCI";"prob_excl_upperCI";"year";"plot";"guild";"intraguild.type"
"1";"BEMA";0,0150861356559924;0,000818255225062305;0,0735040492940201;"2020";7;"plants-herbivores";"nesting_larvae"
"2";"CETE";0,0227285527217604;0,00173393231305119;0,0853307542362264;"2020";7;"plants-herbivores";"nesting_larvae"
"3";"CHFU";0,00317770997869775;0,000236453974649208;0,012346137292591;"2020";7;"plants-herbivores";"nesting_larvae"
"4";"CHMI";0,00498836465375168;0,000265115326791204;0,0207839367823274;"2020";7;"plants-herbivores";"nesting_larvae"
"5";"HOMA";0,0882981389662556;0,00339738035139922;0,377505593717517;"2020";7;"plants-herbivores";"nesting_larvae"
"6";"LEMA";0,00041976958706404;3,90023552136793e-05;0,001485478665255;"2020";7;"plants-herbivores";"nesting_larvae"
"7";"MESP";0,00636315378931576;0,000478931249589921;0,0251532434347547;"2020";7;"plants-herbivores";"nesting_larvae"
"8";"PAIN";0,642851346839431;0,0393604608244032;0,9615958834732;"2020";7;"plants-herbivores";"nesting_larvae"
"9";"PLCO";0,00307846266460297;0,000196905638010296;0,0135975897110942;"2020";7;"plants-herbivores";"nesting_larvae"
"10";"POMA";0,0310307471114087;0,0029002486505147;0,110496910739736;"2020";7;"plants-herbivores";"nesting_larvae"
"11";"POMO";0,00895667367920006;0,000920387105631827;0,029669896487044;"2020";7;"plants-herbivores";"nesting_larvae"
"12";"PUPA";0,0269785101763906;0,00161073721521802;0,112214292377709;"2020";7;"plants-herbivores";"nesting_larvae"
"13";"RAPE";0,000710126662224653;5,91360075291826e-05;0,00263958688777414;"2020";7;"plants-herbivores";"nesting_larvae"
"14";"SASO";0,0043095406448061;0,000435869505935365;0,0139884392668945;"2020";7;"plants-herbivores";"nesting_larvae"
"15";"SCLA";0,002032628860933;0,000100447143945922;0,00994680138451278;"2020";7;"plants-herbivores";"nesting_larvae"
"16";"SOAS";0,00325655383103269;0,000284296264138062;0,0128084746054821;"2020";7;"plants-herbivores";"nesting_larvae"
"17";"SPRU";0,00728932803325618;0,000588002814910741;0,0303416848211218;"2020";7;"plants-herbivores";"nesting_larvae"
"18";"Agriotes_spp";0,0031239329182616;8,70183175470156e-05;0,0155567362978789;"2020";7;"plants-herbivores";"nesting_larvae"
"19";"Aiolopus_strepens";0,00688207083877809;0,000444795399449565;0,0285076925507412;"2020";7;"plants-herbivores";"nesting_larvae"
"20";"Aphis_fabae";0,00339066480004642;0,000229630258296805;0,0141162940063533;"2020";7;"plants-herbivores";"nesting_larvae"
"21";"Brassicogethes_spp";0,0127609258413002;0,000995247996456749;0,0495845379435574;"2020";7;"plants-herbivores";"nesting_larvae"
"22";"Cochlicella_barbara";0,00405918359272081;0,000410946072551988;0,0146469724846905;"2020";7;"plants-herbivores";"nesting_larvae"
"23";"Cryptocephalus_spp";0,00164207854164951;0,000150588939663244;0,00611902418196042;"2020";7;"plants-herbivores";"nesting_larvae"
"24";"Dolycoris_spp";0,00353523977709054;0,000221818530700703;0,0155185745487233;"2020";7;"plants-herbivores";"nesting_larvae"
"25";"Lagorina_sericea";0,00259200666801221;8,02709113731377e-05;0,0127205859234946;"2020";7;"plants-herbivores";"nesting_larvae"
"26";"Lasiocampa_trifolii_caterpillar";0,00480830980358488;0,000423364073163336;0,0176287633548006;"2020";7;"plants-herbivores";"nesting_larvae"
"27";"Malachius_bipustulatus";0,00395301265242051;0,000163108086822398;0,0206089948261055;"2020";7;"plants-herbivores";"nesting_larvae"
"28";"Oedemeridae";0,00107121109141665;0,000101510516591173;0,0036021520363484;"2020";7;"plants-herbivores";"nesting_larvae"
"29";"Psilothrix_viridicoerulea";0,00499531486593354;0,00050971010631687;0,0166276030193345;"2020";7;"plants-herbivores";"nesting_larvae"
"30";"Scyphophorus_spp";0,000711344578542249;6,46168172548205e-05;0,00259334849162518;"2020";7;"plants-herbivores";"nesting_larvae"
"31";"Tessellana_tessellata";0,00239267219688926;0,000110811656403912;0,0114510976316723;"2020";7;"plants-herbivores";"nesting_larvae"
"32";"Theba_pisana";0,0704005254446356;0,00201883417059945;0,300878234696631;"2020";7;"plants-herbivores";"nesting_larvae"
"33";"Thysanoptera";0,00212576253259461;8,92230395270095e-05;0,00940570405804114;"2020";7;"plants-herbivores";"nesting_larvae"
