"";"species";"prob_excl_mean";"prob_excl_lowerCI";"prob_excl_upperCI";"year";"plot";"guild";"intraguild.type"
"1";"Andrena_cinerea";0,124653742238571;0,123990089220539;0,125318990473361;"2019";2;"floral visitors";"mean_field"
"2";"Calliphoridae";0,124837491662133;0,124198958336017;0,125547356049991;"2019";2;"floral visitors";"mean_field"
"3";"Dilophus_spp";0,12532541140453;0,124633440690749;0,126062509737659;"2019";2;"floral visitors";"mean_field"
"4";"Episyrphus_balteatus";0,125321698360586;0,124608566078792;0,125991788978884;"2019";2;"floral visitors";"mean_field"
"5";"Eupeodes_corollae";0,125037154300612;0,124374689305333;0,125704575570447;"2019";2;"floral visitors";"mean_field"
"6";"Lasioglossum_immunitum";0,124881588337686;0,124194200420986;0,125547902112561;"2019";2;"floral visitors";"mean_field"
"7";"Musca_spp";0,12479430393394;0,124117199568326;0,12545344042153;"2019";2;"floral visitors";"mean_field"
"8";"Nemotelus_spp";0,125148609761942;0,124344331632484;0,125924880645068;"2019";2;"floral visitors";"mean_field"
