"";"species";"prob_excl_mean";"prob_excl_lowerCI";"prob_excl_upperCI";"year";"plot";"guild";"intraguild.type"
"1";"Andrena_cinerea";0,0572930163028079;0,0572493169382936;0,0573397958740749;"2019";8;"floral visitors";"nesting_larvae_phenology"
"2";"Bombyliidae";0,0326818347398367;0,0326508412974427;0,0327143525236678;"2019";8;"floral visitors";"nesting_larvae_phenology"
"3";"Calliphoridae";0,0441005513723866;0,0440638692210658;0,0441399090625322;"2019";8;"floral visitors";"nesting_larvae_phenology"
"4";"Chrysididae";0,0327086932066436;0,0326772316943155;0,0327413069606783;"2019";8;"floral visitors";"nesting_larvae_phenology"
"5";"Dilophus_spp";0,0680466523946988;0,0679986187004598;0,068095259914962;"2019";8;"floral visitors";"nesting_larvae_phenology"
"6";"Diplazon_spp";0,0326846955352066;0,0326541515795316;0,0327138829136755;"2019";8;"floral visitors";"nesting_larvae_phenology"
"7";"Empis_tesellata";0,0531799209752794;0,053135282120154;0,053219588214187;"2019";8;"floral visitors";"nesting_larvae_phenology"
"8";"Episyrphus_balteatus";0,0651783692932096;0,0651294931706664;0,0652272684195901;"2019";8;"floral visitors";"nesting_larvae_phenology"
"9";"Eristalis_spp";0,0572409069307453;0,0571958805166145;0,0572832073608921;"2019";8;"floral visitors";"nesting_larvae_phenology"
"10";"Eucera_spp";0,0540846495245203;0,0540384381875345;0,0541292411925719;"2019";8;"floral visitors";"nesting_larvae_phenology"
"11";"Eupeodes_corollae";0,0596734894014727;0,0596304073198317;0,0597181347227949;"2019";8;"floral visitors";"nesting_larvae_phenology"
"12";"Lasiocampa_trifolii";0,0393215522538636;0,0392868297809677;0,03935564617441;"2019";8;"floral visitors";"nesting_larvae_phenology"
"13";"Lomatia_spp";0,0396543422518053;0,0396169395831455;0,0396910756112899;"2019";8;"floral visitors";"nesting_larvae_phenology"
"14";"Musca_spp";0,0526908094291504;0,0526463356889249;0,0527331241171685;"2019";8;"floral visitors";"nesting_larvae_phenology"
"15";"Nemotelus_spp";0,053012011920875;0,0529663850832076;0,0530557267859121;"2019";8;"floral visitors";"nesting_larvae_phenology"
"16";"Nephrotoma_spp";0,0453444507903637;0,0453052215212693;0,0453835043422434;"2019";8;"floral visitors";"nesting_larvae_phenology"
"17";"Odontomyia_spp";0,0580765383724527;0,0580328579253746;0,0581224173569526;"2019";8;"floral visitors";"nesting_larvae_phenology"
"18";"Scaeva_spp";0,0589120526310817;0,058872309529326;0,0589589574920478;"2019";8;"floral visitors";"nesting_larvae_phenology"
"19";"Sphaerophoria_scripta";0,0611544494021798;0,0611096440311611;0,0612026990873851;"2019";8;"floral visitors";"nesting_larvae_phenology"
"20";"Thymelicus_spp";0,0349610132714201;0,0349161909115174;0,0350054525809153;"2019";8;"floral visitors";"nesting_larvae_phenology"
